CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10
CD1,0,4509,2940,2520,3132,2979,1923,2208,3237,1875
CD2,4509,0,3420,4686,3984,2151,2535,5049,2268,3215
CD3,2940,3420,0,3337,2996,3738,3545,2044,2549,1925
CD4,2520,4686,3337,0,3071,3744,2910,3271,2550,2559
CD5,3132,3984,2996,3071,0,6969,3402,1501,1498,1832
CD6,2979,2151,3738,3744,6969,0,3836,1637,1751,1713
CD7,1923,2535,3545,2910,3402,3836,0,553,1435,990
CD8,2208,5049,2044,3271,1501,1637,553,0,628,783
CD9,3237,2268,2549,2550,1498,1751,1435,628,0,2601
CD10,1875,3215,1925,2559,1832,1713,990,783,2601,0
