,De (m),BPR,FPR,OPR,TIT (K),T (N),FC (kg/hr)
0,2.9565030613173984,7.009061167711805,1.6074127846981483,25.210108920168203,1366.5618748033326,320411.31358076725,10065.45856147059
1,2.893170204954969,7.2958799413637925,1.7496144817817252,13.6658642796322,1797.1956953337594,378879.7960115826,17337.670739812012
2,2.189925440388237,7.549208218379192,1.6400836008668624,30.347581058129105,1921.262740717782,220074.3227694818,9683.872734595141
3,1.6962955710632994,6.583128661423128,1.8292102425727492,23.591658324118207,1844.5800391778102,141785.25145268263,6336.0279035528365
4,2.8458755478676956,6.7020357182437476,1.5919286858753177,20.755197289480677,1972.3900523294305,383430.66104744916,19966.742816812013
5,1.4461674298661809,8.424410702662339,1.6724821703764738,19.486051722911032,1819.528461105485,90186.05263285761,3722.1944138056815
6,2.2120466354231603,7.717421019132261,1.4464765036275684,22.764789021520464,1891.173885820361,203381.63375556562,9841.807086853632
7,1.7144040470305617,2.2846326175183793,1.8335398048022924,14.962309475260408,1460.7468246256099,179445.9105813449,10691.368790159886
8,2.3365267198360833,6.780339373708511,1.7317285079843165,21.559332354373844,1511.322002187642,228225.1084844037,8301.741267958383
9,1.562158955462582,4.066765408434686,1.4018473419416424,29.290603114442593,1287.2632358298488,96932.0188424778,3657.9672410357484
10,2.4954098706884666,5.204610501431903,1.471907149830489,37.71249952463067,1455.9410286118996,254984.91771073503,9406.613965679111
11,2.284495516780564,7.981827789121982,1.9335204807774493,39.121862200261376,1491.9416595144928,113835.87685319908,3243.4063448356746
12,2.583402716352559,1.5342477127952634,1.9604210552801922,21.285568958971183,1127.8443993581698,361497.2973167938,16012.89438335817
13,2.858435376184485,4.906001000403279,1.5566209715405823,31.84862053789152,1558.989894424716,373607.2274626872,15897.627280894274
14,1.5598728404052151,5.083057752980006,1.7608705400172482,16.928915214145036,1153.062359580989,68284.67644875385,2455.394211291949
15,1.6173559598349407,1.100416563104942,1.689714163305545,27.665097775286423,1407.437313864338,193624.9199537461,11916.135948643909
16,1.4634874920361816,5.495323840949726,1.5007096511501523,33.94530614503577,1867.9602102762929,103072.40088350915,5318.6187492641175
17,2.015415615791008,8.617620123147471,1.9189424350211266,12.913196942319956,1743.6400434831392,139984.51209442192,5721.475524386535
18,1.7782439391555385,6.294718226613913,1.9958144322069562,15.564602680655494,1221.0708401902446,53183.7090290018,1577.9784802870963
19,1.4085798553663116,4.626185675360513,1.624074801288614,17.105925383329893,1661.1985313349728,98433.90933883747,5171.532011562532
20,1.2824535637718724,3.7265047639585767,1.8629294797627032,25.862781498408822,1619.886828130553,91717.59322081528,4522.641862080151
21,2.8091620791047567,1.9367578025647272,1.6388937668315795,13.902357969844124,1759.4446259043839,562128.1861958484,44572.540203616365
22,1.2516754676665387,2.8893862846847114,1.907877129684167,38.759316949525626,1238.9955753126073,70699.1190296861,2366.229787467369
23,2.361296624802784,2.190441936696846,1.4799819630455957,17.855926281774693,1303.5082753485517,296328.8332580052,16099.466481350162
24,2.967163243626805,5.387085885856887,1.4332077634532854,12.141849326765161,1158.0001576840152,300547.7301635212,11018.117666943841
25,2.7767855526613445,1.9887081248515384,1.946420781743326,27.803330669230192,1599.7253920402113,538187.8990734203,32202.60700720612
26,1.9440271102901634,8.207408460913335,1.6801062191222023,14.367188414919136,1339.6092618220287,88750.60773444985,3003.753186396384
27,2.6686450517574567,2.524689800248553,1.8462924335274584,35.14198032893076,1711.8914980582408,472307.0049971121,27373.442093069432
28,2.0608533212644984,8.784512844765832,1.6526676135245768,33.564933330654235,1779.1368271862539,178114.54482794143,6403.609377164714
29,2.5190247460996664,7.8462955795913505,1.5989455993139599,19.157900153852296,1678.7764548685473,262033.58727233147,10524.50278584951
30,2.6955742584345037,3.5152316770502767,1.7008053002223023,29.743963241967652,1425.6251360832198,362775.91531334555,15496.756180730934
31,1.77443694872507,4.7268615903571725,1.7901933315315843,28.551236205656334,1279.3461798016642,126100.78840304304,4130.082407958012
32,1.5225354051423103,3.0267594212700892,1.7126345655211108,20.054110412815774,1957.3602528497431,152287.98862636575,10836.252199702281
33,1.3579688265940233,6.087018954194364,1.5300192026860635,30.83738233130244,1192.4596396722723,55928.95426714914,1553.3693996662496
34,2.621661537815392,4.312495757430903,1.5445969804991702,22.183058989786446,1652.1864690295563,342103.32060207415,18004.780057867003
35,1.9570044631717922,3.5620238243471376,1.5750960783950505,35.71268306238245,1380.6982424278779,177798.46505268465,7030.902619417755
36,1.6587354681933395,7.2267755718400215,1.888836675846586,39.84797128203454,1110.8244965657034,31044.185165111776,523.1940964089149
37,1.9133441028830889,1.3273890554696837,1.5427654413754261,26.20988322144227,1182.049447015168,207123.79019215482,9941.267686697254
38,1.2207533502368426,5.740481314732115,1.4135802234779307,38.16293289083778,1837.6296291669148,67139.65188673699,3386.4995143316864
39,1.8509485074254721,3.101683155588223,1.900677178519448,32.426846972937994,1998.0364124492423,235430.65167210175,15264.930323577888
40,2.1686366255246012,6.146005422650607,1.4550768113891692,31.229438737486706,1623.0223899474113,196025.62354518595,8260.54621349342
41,1.3351752987037873,5.957894426993462,1.8797102191305948,24.482744012254223,1317.3580660737175,52043.32731669669,1793.4126472722457
42,2.443176110171537,2.6999825363043968,1.813485674903871,36.15900657095439,1250.261230271727,282873.96931669756,10159.853480278305
43,2.271612723719444,4.396067167276708,1.7823846380319623,24.22728641639192,1934.971718909438,297884.3743585506,17249.032133398545
44,2.7394037973788654,1.6872354323911152,1.4918057776712965,26.96464258239586,1532.0194686924897,502306.472378158,32299.656422896685
45,2.5665378195158954,3.296668396530702,1.807535604979853,18.294282255565356,1725.8583807650307,394740.3541255699,23731.079713412644
46,2.420766052785395,8.896248046094552,1.739208785392485,36.82026662364545,1909.0657829515844,261219.62425999402,9783.082214938957
47,1.8374049499600504,1.24782586460482,1.972554760523294,32.82611246448859,1403.6399281072513,243032.7981604763,13466.205467565822
48,2.0779615429791387,8.041885609019607,1.5091693215368136,16.355592045008343,1585.9985260229541,165179.23091687626,6515.030117022468
49,2.1006984956857684,3.8987659224484195,1.9769663304040686,34.727318011530926,1518.5969216811789,232515.82718496947,9516.278156972663
